20/05/24,01:13:00,-0.576,-0.021,0.896,57.23,182.11,1.065
20/05/24,01:14:00,-0.602,-0.085,0.875,55.21,188.06,1.065
20/05/24,01:15:00,-0.625,-0.149,0.850,52.92,193.40,1.065
20/05/24,01:16:00,-0.645,-0.212,0.821,50.42,198.18,1.065
20/05/24,01:17:00,-0.662,-0.274,0.788,47.74,202.47,1.065
20/05/24,01:18:00,-0.676,-0.334,0.752,44.92,206.32,1.065
20/05/24,01:19:00,-0.687,-0.394,0.713,41.99,209.80,1.065
20/05/24,01:20:00,-0.695,-0.451,0.670,38.95,212.98,1.066
20/05/24,01:21:00,-0.700,-0.506,0.624,35.84,215.88,1.066
20/05/24,01:22:00,-0.701,-0.559,0.575,32.67,218.57,1.066
20/05/24,01:23:00,-0.700,-0.610,0.524,29.44,221.07,1.066
20/05/24,01:24:00,-0.695,-0.657,0.470,26.16,223.41,1.066
20/05/24,01:25:00,-0.687,-0.702,0.414,22.86,225.63,1.066
20/05/24,01:26:00,-0.676,-0.744,0.356,19.52,227.74,1.066
20/05/24,01:27:00,-0.661,-0.782,0.297,16.16,229.76,1.066
20/05/24,01:28:00,-0.644,-0.816,0.236,12.78,231.71,1.066
20/05/24,01:29:00,-0.624,-0.847,0.174,9.39,233.62,1.066
20/05/24,01:30:00,-0.601,-0.874,0.111,5.99,235.48,1.066
20/05/24,01:31:00,-0.575,-0.897,0.048,2.58,237.32,1.066
20/05/24,01:32:00,-0.547,-0.915,-0.015,-0.83,239.16,1.066
20/05/24,01:33:00,-0.516,-0.930,-0.079,-4.24,240.99,1.066
